"CALLDATA_NP_RELEASE_REASON_VALUE"
"CALLDATA_P_CALL_CONNECT_TIME"
"CALLDATA_P_CALL_DISCONNECT_TIME"
"GBL_ACCOUNT_CODE"
"GBL_APPEND_DIGITS"
"GBL_BNS_BILLING_NUM"
"GBL_BNS_O_PRIMARY_SERVICE_REQUESTER"
"GBL_BNS_O_PSRID_TYPE"
"GBL_BNS_O_SECONDARY_SERVICE_REQUESTER"
"GBL_BNS_O_SSRID_TYPE"
"GBL_CALLED_PARTY"
"GBL_CALLING_PARTY"
"GBL_CALL_DATA"
"GBL_CALL_ID"
"GBL_CAP_BEARER_CAP_INFO_TRANSFER_CAP"
"GBL_CAP_BEARER_CAP_INFO_TRANSFER_RATE"
"GBL_CAP_BEARER_CAP_USER_INFO_LAYER1"
"GBL_CAP_BEARER_CAP_USER_INFO_LAYER2"
"GBL_CAP_BEARER_CAP_USER_INFO_LAYER3"
"GBL_CAP_CALL_REFERENCE_NUM"
"GBL_CAP_IMSI_AREA_CODE"
"GBL_CAP_IMSI_COUNTRY_CODE"
"GBL_CAP_IMSI_NETWORK_CODE"
"GBL_CAP_LOCATION_INFO_COUNTRY_CODE"
"GBL_CAP_LOCATION_INFO_MSISDN"
"GBL_CAP_LOCATION_INFO_VLR_NOA"
"GBL_CAP_LOCATION_NUM"
"GBL_CAP_MSC_ADDRESS_COUNTRY_CODE"
"GBL_CAP_MSC_ADDRESS_MSISDN"
"GBL_CAP_MSC_ADDRESS_NOA"
"GBL_CAP_TIME_AND_TIMEZONE"
"GBL_CARRIER"
"GBL_CC1_BILLING_NUM"
"GBL_CC1_PIN"
"GBL_CC2_BILLING_NUM"
"GBL_CC2_PIN"
"GBL_CC_O_PRIMARY_SERVICE_REQUESTER"
"GBL_CC_O_PSRID_TYPE"
"GBL_CC_O_SECONDARY_SERVICE_REQUESTER"
"GBL_CC_O_SSRID_TYPE"
"GBL_CHARGE_NUMBER"
"GBL_CHARGE_NUMBER_LENGTH"
"GBL_CHARGE_PARTY_STATION_TYPE"
"GBL_CIC"
"GBL_CLD_PTY_IS_PRESENTATION_RESTRICTED"
"GBL_CLD_PTY_LENGTH"
"GBL_CLD_PTY_NOA"
"GBL_CLD_PTY_NPA"
"GBL_CLD_PTY_NPANXX"
"GBL_CLD_PTY_NXX"
"GBL_CLG_PTY_ANONYMOUS"
"GBL_CLG_PTY_FROM_HDR"
"GBL_CLG_PTY_FROM_PAI_HDR"
"GBL_CLG_PTY_IS_PRESENTATION_RESTRICTED"
"GBL_CLG_PTY_LENGTH"
"GBL_CLG_PTY_NPA"
"GBL_CLG_PTY_NPANXX"
"GBL_CLG_PTY_NXX"
"GBL_CLG_PTY_PRESENT"
"GBL_CPC"
"GBL_DPC_ZCM_FORMAT"
"GBL_ENUM_AUS"
"GBL_ENUM_AUS_LEN"
"GBL_ENUM_KEY"
"GBL_EVENT"
"GBL_GETDATA_ACCOUNT_OWNER"
