"NODE_ACG"
"NODE_APPLY_CHARGING"
"NODE_ASSIGN"
"NODE_CCB"
"NODE_CDR"
"NODE_CHECKPOINT"
"NODE_CREATE_TIMER"
"NODE_DB_QUERY"
"NODE_ECHO"
"NODE_EMAIL"
"NODE_ENDEXECUTION"
"NODE_ENUMSERVICE"
"NODE_EVENT_HANDLER"
"NODE_FORCE_CALL_CLEANUP"
"NODE_FUNCTION"
"NODE_GOTO"
"NODE_INTERM_CDR"
"NODE_PLAY"
"NODE_PLAYCOLLECT"
"NODE_PROCESS"
"NODE_PROCESS_START"
"NODE_RECORD"
"NODE_RETURN"
"NODE_ROUTE"
"NODE_ROUTECALL"
"NODE_ROUTE_PLAY"
"NODE_ROUTE_PLAYCOLLECT"
"NODE_ROUTING_ENGINE"
"NODE_SEND_ALARM"
"NODE_SERVICE_CHAINING"
"NODE_SOAP_QUERY"
"NODE_START"
"NODE_STOP_MEDIA"
"NODE_STOP_TIMER"
"NODE_SWITCH"
"NODE_TERMINATECALL"
"NODE_TUI"
